ID,count
0,97939
1,266844
2,581971
3,948589
4,1133362
5,1235270
6,1284396
7,1333819
8,1379732
9,1310314
10,287690
11,679536
12,648527
13,805928
14,863883
15,905943
16,909268
17,991156
18,959300
19,869037
20,851688
21,688177
22,687483
23,3386745
24,499079
25,176508
26,73000
27,11129
28,705726
29,1915985
30,35240
31,9454
32,26094
33,346130
34,1045
35,368312
36,146104
37,47227
38,296922
39,7295
40,81678
41,2946
42,85986
43,36498
44,29097
45,1972
46,28123
47,16355
48,6506
49,20931
50,10558
51,16532
52,1238
53,3045
54,5745
55,14013
56,4145
57,2326
58,1090
59,9924
60,2113
61,15387
62,7223
63,1817
64,6174
65,1107
66,1379
67,2336
68,11994
69,1270
70,3045
71,1233
72,2051
73,2345
74,6224
75,9802
76,2943
77,1175
78,1916
79,2680
80,2139
81,3726
82,3485
83,1272
84,2208
85,1105
86,1276
87,1519
88,1227
89,1707412
90,180512
91,236403
92,25464
93,154208
94,25313
95,110695
96,27416
97,21158
98,180067
99,51176
100,508944
101,15954
102,58842
103,137207
104,12250
105,44409
106,203896
107,105398
108,5991
109,14649
110,11454
111,31448
112,22604
113,71253
114,15185
115,45913
116,4193
117,41042
118,22359
119,5269
120,22312
121,9819
122,4349
123,27504
124,3216
125,10233
126,31473
127,12076
128,657
129,2811
130,6940
131,51747
132,28818
133,1802
134,11329
135,26737
136,25565
137,8796
138,1543
139,616
140,44164
141,1657
142,86892
143,2639
144,18615
145,761
146,8481
147,566
148,5881
149,842
150,1372
151,197
152,9714
153,10817
154,25462
155,3801
156,24980
157,1797
158,2883
159,435
160,1426
161,9686
162,4094
163,3101
164,708
165,20291
166,4559
167,3096
168,17964
169,2311
170,803
171,9838
172,5085
173,8773
174,1093
175,2977
176,877
177,434
178,2096
179,1155
180,1496
181,3293
182,387
183,4551
184,744
185,9080
186,828
187,877
188,1176
189,1473
190,2447
191,9208
192,673
193,1606
194,321
195,4345
196,326
197,732
198,1419
199,2769
200,1763
201,3384
202,2391
203,169
204,64
205,1073
206,1973
207,4353
208,3036
209,1335
210,522
211,1660
212,368
213,1019
214,624
215,170
216,659
217,805
218,895
219,1086
220,1732
221,684
222,511
223,1495
224,293
225,4158
226,2064
227,342
228,526
229,1696
230,995
231,1041
232,1005
233,1191
234,770
235,545
236,227
237,2511
238,409
239,174
240,388
241,1660
242,3580
243,436
244,508
245,2039
246,720
247,164
248,966
249,654
250,666
251,328
252,194
253,1064
254,296
255,810
256,105
257,516
258,629
259,371
260,485
261,172
262,302
263,505
264,223
265,1509
266,296
267,256
268,162
269,370
270,907
271,55
272,433
273,670
274,640
275,236
276,168
277,528
278,640
279,193
280,325
281,289
282,344
283,121
284,227
285,258
286,103
287,329
288,757
289,136
290,147
291,160
292,84
293,615
294,325
295,239
296,68
297,64
298,129
299,184
300,176
301,445
302,175
303,397
304,498
305,192
306,450
307,225
308,75
309,41
310,319
311,103
312,26
313,302
314,66
315,290
316,179
317,135
318,53
319,60
320,154
321,107
322,52
323,52
324,72
325,17
326,40
327,28
328,26
329,2
330,41
331,10
332,16
333,1
334,1
335,72052
336,145691
337,63807
338,15796
339,80063
340,13861
341,32880
342,41123
343,43203
344,33523
345,348810
346,37554
347,10838
348,67140
349,52017
350,18070
351,17603
352,20144
353,4636
354,41786
355,23207
356,80502
357,28922
358,27399
359,31224
360,3793
361,26284
362,36388
363,43860
364,11726
365,31799
366,11425
367,15641
368,10546
369,9636
370,31146
371,7493
372,9972
373,9313
374,14124
375,2395
376,8998
377,7803
378,7639
379,3501
380,27992
381,5717
382,2946
383,4500
384,5648
385,5276
386,12152
387,14115
388,52
389,21616
390,312
391,9166
392,47835
393,27348
394,2104
395,5735
